Region,Country,Location,Course,Date,Architect,TypeOfJob,Status,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,Comments,YouTubeCaption,Twitter,TwitterCaption,TopCandidate
AU/NZ,NZ,South Island,The Hills (The Farm) ,2019,Oliver,New,Open,,2020-05-14,-44.9542279,168.8368992,https://www.planetgolf.com/news/designed-by-darius-oliver-the-farm-officially-opens-for-play,,thehillsgolfclub,9 holes,,Planet_Golf/status/1102496399415885824,Images,
N America,Canada,Nova Scotia,Cabot Nest,2020,Whitman Axland,New ,Open,,2020-05-02,46.2365266,-61.3044246,https://www.cabotlinks.com/golf/the-nest/,,,Par 3,,GOLF_com/status/1281683468951318528,GOLF,
N America,USA,California,Pebble Beach Hay par 3 ,2021, Woods ,Total Rebuild ,Construction ,,2020-10-13,36.5696553,-121.9519442,,Xb4MlZk4Zt4,pebblebeachresorts,,Experience,https://twitter.com/LinksNation/status/1315991348756058114,Cap Con,
N America,USA,Massachusetts,Edgartown,2020,Kovich,Renovation,Open,Cornelius Lee,2020-10-02,41.3956089,-70.5263745,https://edgartowngolfclub.com,Dluj41OlG9k,,,Hole 7,,,
N America,USA,Michigan,Forest Dunes Par 3,2020,Johns & Rhebb,New,Construction,,2020-09-22,44.5918048,-84.5316975,https://www.forestdunesgolf.com/golf/par-3-course,qJWTSzTbXG4,forestdunes,,Construction,BunkerShotGolf/status/1286767409966321664,Open,
N America,USA,New York,Saratoga Golf & Polo,2019,Goalby Normoyle,Renovation ,Open,,2020-05-02,43.0857287,-73.8026455,https://www.saratogagolfpoloclub.org/,,,,,,,
N America,USA,Washington,Gamble Sands Quicksand,2021,McLay-Kidd,New,Construction,McLay-Kidd,2020-07-15,48.0753752,-119.6521546,https://www.linksmagazine.com/quicksands-short-course-gamble-sands/?fbclid=IwAR38Ta9CWzVGjLTH0sJGfoSXQsuxEMIMwruzKFRhbdjH5o9n_LcFh2-n6Ys,uGqU7Zb9nwo,gamblesandsgolf,14 hole par 3,July 2020,GambleSands/status/1299485714518667264,Sept  2020,
